marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_text,review_date,label
US,42521656,R26MV8D0KG6QI6,B000SAQCWC,159713740,"The Cravings Place Chocolate Chunk Cookie Mix, 23-Ounce Bags (Pack of 6)",Grocery,5,0,0,N,Y,Using these for years - love them.,"As a family allergic to wheat, dairy, eggs, nuts, and several other things, we love the entire Cravings Place line of products as it allows us to bake treats with minimal effort and ingredients. Most allergy-free and gluten-free mixes usually just omit one or two allergens at most, so it's great to see a mix created without many of the most common allergens. (Note these still have soy and corn). We consume these on a regular basis and have been doing so for years.",31-08-2015,1
US,12049833,R1OF8GP57AQ1A0,B00509LVIQ,138680402,"Mauna Loa Macadamias, 11 Ounce Packages",Grocery,5,0,0,N,Y,Wonderful,"My favorite nut.  Creamy, crunchy, salty, and slightly sweet - what more could you ask for?",31-08-2015,0
US,107642,R3VDC1QB6MC4ZZ,B00KHXESLC,252021703,Organic Matcha Green Tea Powder - 100% Pure Matcha (No Sugar Added - Unsweetened Pure Green Tea - No Coloring Added Like Others) 4oz,Grocery,5,0,0,N,N,Five Stars,This green tea tastes so good! My girlfriend loves it too.,31-08-2015,1
US,6042304,R12FA3DCF8F9ER,B000F8JIIC,752728342,15oz Raspberry Lyons Designer Dessert Syrup Sauce,Grocery,5,0,0,N,Y,Five Stars,I love Melissa's brand but this is a great second when I can't get Melissa's brand.,31-08-2015,1
US,18123821,RTWHVNV6X4CNJ,B004ZWR9RQ,552138758,"Stride Spark Kinetic Fruit Sugar Free Gum, 14-Count (Pack of 12)",Grocery,5,0,0,N,Y,Five Stars,good,31-08-2015,1
US,23649464,RIG9AWFOGRDVO,B00AL6QBZ6,681475449,Herr's Popcorn Hot Cheese 1 Oz (Pack of 30),Grocery,2,1,1,N,Y,Not Happy,The popcorn was stale.,31-08-2015,0
US,32778285,R1S1XSG4ZCHDGS,B00BCNSTRA,578681693,"Larabar uber, 1.42 Ounce (Pack of 15)",Grocery,5,1,1,N,Y,Five Stars,"Love these bars, but have to watch out for the fat and sugar grams",31-08-2015,1
US,46612941,RB15NBVY5ELVW,B0089MM2BG,350968436,"Shirakiku Soba Noodles, 7.16 Ounce",Grocery,5,2,2,N,Y,Five Stars,Love the taste but the price was too high and it doesn't come in a 6 or 12 pack.,31-08-2015,1
US,31525399,R56358YM1ZJ7I,B00Y1C9770,729982780,"Jif Chocolate Nut Butter Almond Granola Bars, 5 Count Pack",Grocery,5,0,0,N,N,Great tasting!,I'm a member of the crowdtap jif program and jif sent me a sample of its jif bars to try and review and my family and I loved them!great peanut butter taste and so easy to take with you whenever you need a great snack!,31-08-2015,1
US,19624355,R1ODXB3C9UP3NL,B00J074W94,2499702,"Orgain Organic Plant Based Protein Powder, Packaging May Vary",Grocery,1,1,3,N,N,Disgusting now and difficult on digestion,Used to be a decent product.  Disgusting now and difficult on digestion.  All 3 purchased from Costco over past couple months end in same result -- open the container and it smells like rancid oil.  Something not right about how they are making/processing this powder now.  Will not buy again.,31-08-2015,1
US,31910375,R155ZMVLD5C9BP,B0001VKKOO,189938205,Bragg - All Natural Liquid Aminos All Purpose Seasoning Spray,Grocery,4,3,4,N,Y,"If you like soy sauce, you'll really like this -","I cannot tell the difference in taste between soy sauce and these Bragg Liquid Aminos. I'm glad I bought the small spray bottle of it so that I can have better control of how much I use as it is powerful stuff! Since I'm watching my sodium intake I like to make my own stir-fry dishes and can still enjoy that &#34;soy sauce&#34; flavor enhancer without overdoing it. It's pretty good also on a home cooked burger and beef steak - slather melted butter on top of the cooked meat before serving, give it a quick spray of aminos, a few grinds of black pepper....... and enjoy!",31-08-2015,1
US,12816533,R2IXW43PUNYM0G,B007TGH4CK,398128262,Wholesome Sweeteners Organic Coconut Palm Sugar,Grocery,4,1,1,N,Y,Four Stars,Good flavor and seems concentrate enough to add a little more sweet that the other one I have.,31-08-2015,1
US,23208852,R3LYEG1QCK2BG0,B002HMN6SC,18057786,"Kadoya Pure Sesame Oil, 11 Fluid Ounce",Grocery,5,0,0,N,Y,Five Stars,Great to use in recipes.,31-08-2015,1
US,17348415,R20LREICPM3YH0,B004NRHAZO,595020880,"Nishiki Premium Brown Rice, 15-Pounds Bag",Grocery,5,0,0,N,Y,Five Stars,It's rice. Have enough to last for months.,31-08-2015,0
US,46763945,RHA5COCZDVB13,B00V7LJIG8,173088090,"Everly Passion Fruit Green Tea - All Natural Powdered Drink Mix - (36-ct) - Sugar Free, Zero Calorie, Healthy Water Enhancer",Grocery,5,0,0,N,Y,Five Stars,Very good tasting and a great way to get away from the sugar.,31-08-2015,1
US,961747,RT9BGRQANMANE,B0000E2YFI,120269621,Charms Blue Razzberry Blow Pops Lollipops Quantity: 48,Grocery,5,0,0,N,Y,Excellent,They were perfect and came right on time,31-08-2015,1
US,16888081,ROD1TU5JCS7JQ,B00VK5SQOQ,204992966,"Food Should Taste Good, Real Good Bar, Gluten Free, Macadamia Chai, 15 Count",Grocery,5,0,0,N,N,YUMMY!,"Wow, these are sooooooo good and I am not a sweet tooth.  So full of nuts and very addicting!",31-08-2015,1
US,22765168,R3T6TTD2IN0EFZ,B00XDXMLL2,971154239,"Skippy Creamy Peanut Butter, with Salted Caramel 15oz (Pack of 4)",Grocery,1,4,4,N,N,"1 Out Of 5 Of My Co-Workers Thought It Was ""Okay""","I bought this from a local super market on a whim and decided to let people know how it tastes. I'm a huge fan of peanut butter and salted caramel.<br /><br />For instance, I had a Salted Caramel and Almond Kind Bar today and it was amazing. It tasted like you would expect it to taste.<br /><br />However, this particular product tastes like a chemical spill. It starts off with a peanut butter taste, but then the (caramel I'm guessing) tastes kind of burnt and chemical-like, and then it finishes with a very salty burnt taste.<br /><br />I had some on a spoon and disliked it, then I put some on pretzel bread and it was slightly palatable, but overall I would avoid this product as it doesn't really taste like salted caramel peanut butter.<br /><br />Just for fun, I let my co-workers taste it and only 1 out of 5 of them thought that this product tasted &#34;okay&#34;. The rest of them shared my sentiment.",31-08-2015,1
US,36328996,R1OCUGZ444NKV3,B00MN4KX3A,787182505,"Celestial Seasonings Tropical Fruit Cool Brew Herbal Tea Bags, 40 ct â€¦",Grocery,5,5,5,N,Y,delicious tea and easy to make,"I love this tea, it's delicious and since it is cool brew I don't have to put on a kettle or boil water them waste ice trying to cool down my tea for summer time. Also, when I'm on the go, I can stick a bag into a water bottle I get out of the refrigerator and go out the door.",31-08-2015,1
US,27092724,RCQQGWTC4J4TZ,B004NTCE1M,653570135,"Nutiva Organic Virgin Coconut Oil, 15 Ounce",Grocery,4,0,0,N,Y,Best coconut oil,I have used servo different brands of coconut oil and this is by the best! It wasn't gritty like most and very smooth. I really like that you can subscribe to purchase it monthly. One thing I know that is a little bit of coconut oil goes a long way! We use coconut oil for lotion and also for our dog. It has many uses and I enjoy this brand best! Definitely will purchase it again and again!,31-08-2015,1
US,49551226,R2Z0LF8EQK62VB,B004BGM3HC,608319289,"Abbaye De Flavigny - Orange, Anise and Violet Flavored Candies From France 3 Pack 3x1.75oz",Grocery,5,0,0,N,Y,Five Stars,Taste as remembered like them a lot,31-08-2015,0
US,32138061,R101OH1JM3L08F,B005QBAM6A,127889324,Underberg Bitter Herb 3pk,Grocery,5,0,0,N,Y,Five Stars,LOVE THIS STUFF,31-08-2015,1
US,161464,R3GPE0R3A5TG5H,B0050NTYXG,730115695,"Hershey's Halloween Assortment, Snack Size Assortment Bag",Grocery,4,0,0,N,N,This is a good variety,This is a variety of candy for halloween to hand out. The kids love it! Just need to buy at least 2-3 bags because one won't be enough for all the kids especially in my neighborhood. There are a lot of children that go trick or treating with their parents.,31-08-2015,1
US,35636887,R9MISLBRG08FX,B00DBSFXUA,294404974,"Keebler Town House Pita Crackers, 9.5 Ounce",Grocery,1,0,0,N,Y,pita crackers,not craze about these. nothing really wrong with them just no into them. These crackers are small so not much room for cheese.,31-08-2015,1
